date,srcip,dstip,srcport,dstport,time,pkt_len,tos,id,flag,ttl,chksum
2015-05-21 13:01:00,2342757303,3617517253,57743,80,1432213260000174,52,0,64694,2,57,20302
2015-05-21 13:01:00,2226061533,2422044930,25296,12762,1432213260000178,200,0,0,2,58,45369
2015-05-21 13:01:00,1692443503,2243093086,80,58531,1432213260000183,1500,0,21998,2,59,29645
2015-05-21 13:01:00,3772748931,3714477157,56445,80,1432213260000187,52,0,20260,2,59,12657
2015-05-21 13:01:00,1692443503,2243093086,80,58531,1432213260000193,1500,0,21999,2,59,29644
2015-05-21 13:01:00,500554551,3617517253,38305,443,1432213260000197,52,0,50364,2,56,48790
2015-05-21 13:01:00,1698734450,2299785499,52852,80,1432213260000200,52,0,6094,2,58,43028
2015-05-21 13:01:00,1544203764,2342717547,46246,80,1432213260000200,52,0,10998,2,53,31937
2015-05-21 13:01:00,3339032855,1672854989,51449,80,1432213260000202,40,0,18027,2,120,15045
2015-05-21 13:01:00,465965641,150789912,60760,80,1432213260000208,52,0,53289,2,56,23671
2015-05-21 13:01:00,1790770405,3617517163,40315,443,1432213260000214,52,0,45292,2,56,25643
2015-05-21 13:01:00,2342757303,3617517253,57743,80,1432213260000226,52,0,64695,2,57,20301
2015-05-21 13:01:00,116262349,1545326958,3074,34260,1432213260000226,204,0,18609,0,53,556
2015-05-21 13:01:00,2347841653,1716726314,80,60955,1432213260000228,1439,8,34747,2,60,23730
2015-05-21 13:01:00,1691762315,1505192174,4369,443,1432213260000235,52,0,5490,2,57,50763
2015-05-21 13:01:00,1698734450,2299785499,52852,80,1432213260000238,1500,0,6095,2,58,41579
2015-05-21 13:01:00,1698734450,2299785499,52852,80,1432213260000239,785,0,6096,2,58,42293
2015-05-21 13:01:00,1787877175,1545329577,12093,31286,1432213260000242,1455,0,14735,0,119,35618
2015-05-21 13:01:00,500554551,3617517253,38305,443,1432213260000243,52,0,50365,2,56,48789
2015-05-21 13:01:00,1956245869,150789938,63773,80,1432213260000243,52,0,45090,2,56,17516
2015-05-21 13:01:00,3985845715,853563484,2519,8006,1432213260000265,52,0,26464,2,52,14529
2015-05-21 13:01:00,2342757303,3617517253,57743,80,1432213260000278,52,0,64696,2,57,20300
2015-05-21 13:01:00,3692841427,2243093084,443,45355,1432213260000285,1450,0,3830,2,86,33369
2015-05-21 13:01:00,557403745,1545329443,37881,51058,1432213260000288,58,0,22357,2,56,17541
2015-05-21 13:01:00,557403745,1545329443,37881,51058,1432213260000288,58,0,22358,2,56,17540
2015-05-21 13:01:00,1778659739,2234915103,80,50903,1432213260000291,677,2,19296,2,54,48380
2015-05-21 13:01:00,500391181,2283388241,42083,443,1432213260000293,52,0,858,2,56,32543
2015-05-21 13:01:00,947314515,2215254431,38260,42134,1432213260000293,200,0,7685,2,113,13741
2015-05-21 13:01:00,2288749392,137092574,59358,443,1432213260000298,52,0,17829,2,56,858
2015-05-21 13:01:00,3692841427,2243093084,443,45355,1432213260000299,1450,0,3831,2,86,33368
2015-05-21 13:01:00,3692841427,2243093084,443,45355,1432213260000301,1450,0,3832,2,86,33367
2015-05-21 13:01:00,2222684012,1692674710,45882,443,1432213260000302,52,0,41541,2,55,5661
2015-05-21 13:01:00,2342757303,3617517253,57743,80,1432213260000316,52,0,64697,2,57,20299
2015-05-21 13:01:00,500554551,3617517253,38305,443,1432213260000317,52,0,50366,2,56,48788
2015-05-21 13:01:00,1863625798,568954141,53,42981,1432213260000321,96,8,58498,0,59,53409
2015-05-21 13:01:00,3692841427,2243093084,443,45355,1432213260000324,1450,0,3833,2,86,33366
2015-05-21 13:01:00,148889768,3617492044,64415,80,1432213260000327,52,0,4449,2,57,58096
2015-05-21 13:01:00,3692841427,2243093084,443,45355,1432213260000351,1450,0,3834,2,86,33365
2015-05-21 13:01:00,2342757303,3617517253,57743,80,1432213260000352,52,0,64698,2,57,20298
2015-05-21 13:01:00,1746946824,1545329630,14381,29821,1432213260000355,104,0,14729,0,49,25818
2015-05-21 13:01:00,2672535426,137682455,61626,443,1432213260000357,40,0,32161,2,120,22549
2015-05-21 13:01:00,2025248967,2283387948,51520,80,1432213260000363,52,0,249,2,51,45319
2015-05-21 13:01:00,3692841427,2243093084,443,45355,1432213260000376,1450,0,3835,2,86,33364
2015-05-21 13:01:00,1738383607,2342717538,61773,80,1432213260000377,52,0,519,2,55,42275
2015-05-21 13:01:00,3692841427,2243093084,443,45355,1432213260000388,1450,0,3836,2,86,33363
2015-05-21 13:01:00,3692841427,2243093084,443,45355,1432213260000392,1450,0,3837,2,86,33362
2015-05-21 13:01:00,150953147,2283388161,34736,443,1432213260000394,52,8,44189,2,59,59465
2015-05-21 13:01:00,2342757303,3617517253,57743,80,1432213260000398,52,0,64699,2,57,20297
2015-05-21 13:01:00,146736697,3617492175,47577,80,1432213260000402,64,0,6790,2,59,45516
2015-05-21 13:01:00,3692841427,2243093084,443,45355,1432213260000404,1450,0,3838,2,86,33361
2015-05-21 13:01:00,3692841427,2243093084,443,45355,1432213260000406,1450,0,3839,2,86,33360
2015-05-21 13:01:00,3692841427,2243093084,443,45355,1432213260000416,1450,0,3840,2,86,33359
